image,split,source_video,source_sha256,source_frame,timestamp_seconds,dhash,distance_from_previous_kept,annotation_status
images/train/0067a136_84fef0e4a6_f0000000_t0000000000.jpg,train,C:\Users\L1\Documents\antigravity\agitated-bohr\videos\0067a136.avi,84fef0e4a6cdcade17cf9eafeec6aadc19169109bfdf3e347ed8978fd45f8232,0,0.0,aa169e357cf8f8f8,64,pending
images/train/0067a136_84fef0e4a6_f0000015_t0000001500.jpg,train,C:\Users\L1\Documents\antigravity\agitated-bohr\videos\0067a136.avi,84fef0e4a6cdcade17cf9eafeec6aadc19169109bfdf3e347ed8978fd45f8232,15,1.5,f2169a3978f9f8f8,8,pending
images/train/0067a136_84fef0e4a6_f0000025_t0000002500.jpg,train,C:\Users\L1\Documents\antigravity\agitated-bohr\videos\0067a136.avi,84fef0e4a6cdcade17cf9eafeec6aadc19169109bfdf3e347ed8978fd45f8232,25,2.5,f2169e397af8f2fa,6,pending
images/train/0067a136_84fef0e4a6_f0000030_t0000003000.jpg,train,C:\Users\L1\Documents\antigravity\agitated-bohr\videos\0067a136.avi,84fef0e4a6cdcade17cf9eafeec6aadc19169109bfdf3e347ed8978fd45f8232,30,3.0,f2169e3978f4f5f8,7,pending
images/train/0067a136_84fef0e4a6_f0000040_t0000004000.jpg,train,C:\Users\L1\Documents\antigravity\agitated-bohr\videos\0067a136.avi,84fef0e4a6cdcade17cf9eafeec6aadc19169109bfdf3e347ed8978fd45f8232,40,4.0,f2169e397cf9f3f8,6,pending
images/train/0067a136_84fef0e4a6_f0000045_t0000004500.jpg,train,C:\Users\L1\Documents\antigravity\agitated-bohr\videos\0067a136.avi,84fef0e4a6cdcade17cf9eafeec6aadc19169109bfdf3e347ed8978fd45f8232,45,4.5,f2169e3978faf0f9,6,pending
images/train/0067a136_84fef0e4a6_f0000050_t0000005000.jpg,train,C:\Users\L1\Documents\antigravity\agitated-bohr\videos\0067a136.avi,84fef0e4a6cdcade17cf9eafeec6aadc19169109bfdf3e347ed8978fd45f8232,50,5.0,f2169c3978f9f2f2,7,pending
images/train/256b0149_7e48b0ecae_f0000000_t0000000000.jpg,train,C:\Users\L1\Documents\antigravity\agitated-bohr\videos\256b0149.avi,7e48b0ecaed4acea8976a6b91b0f695a0b52d39f3c72a9f2e16e3fb571ee6c4a,0,0.0,aa9c9c3d78f8f8f8,64,pending
images/train/256b0149_7e48b0ecae_f0000005_t0000000500.jpg,train,C:\Users\L1\Documents\antigravity\agitated-bohr\videos\256b0149.avi,7e48b0ecaed4acea8976a6b91b0f695a0b52d39f3c72a9f2e16e3fb571ee6c4a,5,0.5,f2169c3978f8f8f8,7,pending
images/train/256b0149_7e48b0ecae_f0000015_t0000001500.jpg,train,C:\Users\L1\Documents\antigravity\agitated-bohr\videos\256b0149.avi,7e48b0ecaed4acea8976a6b91b0f695a0b52d39f3c72a9f2e16e3fb571ee6c4a,15,1.5,f2169c3978fbf1fb,6,pending
images/train/256b0149_7e48b0ecae_f0000020_t0000002000.jpg,train,C:\Users\L1\Documents\antigravity\agitated-bohr\videos\256b0149.avi,7e48b0ecaed4acea8976a6b91b0f695a0b52d39f3c72a9f2e16e3fb571ee6c4a,20,2.0,f2169c397cfaf7f8,6,pending
images/train/256b0149_7e48b0ecae_f0000025_t0000002500.jpg,train,C:\Users\L1\Documents\antigravity\agitated-bohr\videos\256b0149.avi,7e48b0ecaed4acea8976a6b91b0f695a0b52d39f3c72a9f2e16e3fb571ee6c4a,25,2.5,f2169c3d74f2f8f8,7,pending
images/train/256b0149_7e48b0ecae_f0000035_t0000003500.jpg,train,C:\Users\L1\Documents\antigravity\agitated-bohr\videos\256b0149.avi,7e48b0ecaed4acea8976a6b91b0f695a0b52d39f3c72a9f2e16e3fb571ee6c4a,35,3.5,f2169c3d78f8f3fa,8,pending
images/train/256b0149_7e48b0ecae_f0000040_t0000004000.jpg,train,C:\Users\L1\Documents\antigravity\agitated-bohr\videos\256b0149.avi,7e48b0ecaed4acea8976a6b91b0f695a0b52d39f3c72a9f2e16e3fb571ee6c4a,40,4.0,f2169c3578f2f4f8,7,pending
images/train/256b0149_7e48b0ecae_f0000045_t0000004500.jpg,train,C:\Users\L1\Documents\antigravity\agitated-bohr\videos\256b0149.avi,7e48b0ecaed4acea8976a6b91b0f695a0b52d39f3c72a9f2e16e3fb571ee6c4a,45,4.5,f2169a3d74fcf8f8,10,pending
